lon,lat,alt,time,vel,moving,s,elapsed,asc,desc
-3.157335,51.090769,264.6,2019-08-03 10:32:28+00:00,,0,,,,
-3.157336,51.09077,264.6,2019-08-03 10:32:29+00:00,0.4728448339424383,1,0.00013134578720623287,1.0,0.0,0.0
-3.157472,51.090861,261.8,2019-08-03 10:32:39+00:00,5.0982245606233345,1,0.014293080677826607,11.0,0.0,-2.8000000000000114
-3.157886,51.090901,260.6,2019-08-03 10:32:46+00:00,15.061758921053878,1,0.04357983413543137,18.0,0.0,-4.0
-3.157965,51.090912,261.2,2019-08-03 10:32:47+00:00,20.464797343944678,1,0.04926450006430489,19.0,0.5999999999999659,-4.0
-3.158118,51.090938,261.6,2019-08-03 10:32:49+00:00,19.944122012319184,1,0.06034456784892666,21.0,1.0,-4.0
-3.158278,51.090974,261.4,2019-08-03 10:32:51+00:00,21.374638937705097,1,0.07221936725876281,23.0,1.0,-4.2000000000000455
-3.158547,51.091033,260.8,2019-08-03 10:32:54+00:00,23.89696114078143,1,0.09213350154274734,26.0,1.0,-4.800000000000011
-3.159005,51.091146,259.8,2019-08-03 10:32:59+00:00,24.760994287991316,1,0.1265237713871797,31.0,1.0,-5.800000000000011
-3.159137,51.091229,259.6,2019-08-03 10:33:01+00:00,23.489877400466053,1,0.13957370327632754,33.0,1.0,-6.0
-3.159198,51.09128,259.4,2019-08-03 10:33:02+00:00,25.551733541414638,1,0.1466714070378316,34.0,1.0,-6.2000000000000455
-3.159249,51.091338,259.4,2019-08-03 10:33:03+00:00,26.5304901509518,1,0.15404098763531823,35.0,1.0,-6.2000000000000455
-3.159297,51.091399,259.2,2019-08-03 10:33:04+00:00,27.255065579637535,1,0.16161183918521754,36.0,1.0,-6.400000000000034
-3.159371,51.091443,259.2,2019-08-03 10:33:05+00:00,25.62715665738175,1,0.16873049381226804,37.0,1.0,-6.400000000000034
-3.159541,51.091513,259.2,2019-08-03 10:33:07+00:00,25.561209554478403,1,0.18293116578697827,39.0,1.0,-6.400000000000034
-3.159923,51.091587,258.4,2019-08-03 10:33:11+00:00,25.144188143934283,1,0.21086915261357192,43.0,1.0,-7.2000000000000455
-3.160262,51.091628,258.4,2019-08-03 10:33:15+00:00,21.705458506944506,1,0.23498632873239914,47.0,1.0,-7.2000000000000455
-3.160373,51.091663,258.4,2019-08-03 10:33:17+00:00,15.617961834219937,1,0.24366297419585464,49.0,1.0,-7.2000000000000455
-3.160466,51.091688,258.4,2019-08-03 10:33:19+00:00,12.720427096519657,1,0.25072987813836556,51.0,1.0,-7.2000000000000455
-3.160554,51.091707,258.6,2019-08-03 10:33:21+00:00,11.70670908606537,1,0.2572336054084019,53.0,1.2000000000000455,-7.2000000000000455
-3.16059,51.091719,258.8,2019-08-03 10:33:22+00:00,10.274975760975035,1,0.2600877653420061,54.0,1.400000000000034,-7.2000000000000455
-3.160659,51.091755,259.2,2019-08-03 10:33:24+00:00,11.302494419289534,1,0.26636692890827807,56.0,1.8000000000000114,-7.2000000000000455
-3.1607,51.091766,259.6,2019-08-03 10:33:25+00:00,11.304547963030362,1,0.2695070811202309,57.0,2.2000000000000455,-7.2000000000000455
-3.160757,51.091784,260.4,2019-08-03 10:33:27+00:00,8.150658583811751,1,0.2740352247779041,59.0,3.0,-7.2000000000000455
-3.160788,51.09179,260.6,2019-08-03 10:33:28+00:00,8.189695970747977,1,0.2763101403253341,60.0,3.2000000000000455,-7.2000000000000455
-3.16084,51.091812,261.4,2019-08-03 10:33:30+00:00,8.014299964807543,1,0.28076252919467165,62.0,4.0,-7.2000000000000455
-3.160858,51.091833,261.6,2019-08-03 10:33:31+00:00,9.57689722187117,1,0.2834227784229692,63.0,4.2000000000000455,-7.2000000000000455
-3.160876,51.091852,262.2,2019-08-03 10:33:32+00:00,9.112495790066879,1,0.28595402725354335,64.0,4.800000000000011,-7.2000000000000455
-3.160912,51.091886,262.8,2019-08-03 10:33:34+00:00,8.245874681561824,1,0.29053506874329993,66.0,5.400000000000034,-7.2000000000000455
-3.160951,51.09191,263.6,2019-08-03 10:33:36+00:00,7.015064361936923,1,0.2944323267221538,68.0,6.2000000000000455,-7.2000000000000455
-3.161017,51.091921,264.4,2019-08-03 10:33:38+00:00,8.7063021610906,1,0.29926916125609304,70.0,7.0,-7.2000000000000455
-3.161112,51.091953,265.4,2019-08-03 10:33:41+00:00,9.116189707946845,1,0.30686598601271536,73.0,8.0,-7.2000000000000455
-3.161181,51.091991,266.2,2019-08-03 10:33:43+00:00,11.628976758491222,1,0.3133265286563216,75.0,8.800000000000011,-7.2000000000000455
-3.161235,51.09202,266.6,2019-08-03 10:33:44+00:00,17.925974632282177,1,0.31830596605417777,76.0,9.200000000000045,-7.2000000000000455
-3.161328,51.092068,267.4,2019-08-03 10:33:46+00:00,15.204606516094191,1,0.32675296967423006,78.0,10.0,-7.2000000000000455
-3.161382,51.092093,268.0,2019-08-03 10:33:47+00:00,17.008828528951593,1,0.33147764426560555,79.0,10.600000000000023,-7.2000000000000455
-3.161427,51.092115,268.4,2019-08-03 10:33:48+00:00,14.413485633203232,1,0.33548139027482865,80.0,11.0,-7.2000000000000455
-3.161516,51.092178,269.0,2019-08-03 10:33:50+00:00,16.896733809891685,1,0.34486846461365733,82.0,11.600000000000023,-7.2000000000000455
-3.161627,51.092229,269.6,2019-08-03 10:33:52+00:00,17.32733827947969,1,0.35449476365781274,84.0,12.200000000000045,-7.2000000000000455
